"Activity","SubFP5","SubFP8","SubFP12","SubFP16","SubFP18","SubFP28","SubFP84","SubFP85","SubFP86","SubFP96","SubFP133","SubFP151","SubFP179","SubFP224","SubFP300","SubFP302","SubFP303","SubFPC1","SubFPC274","SubFPC275","SubFPC295","SubFPC297","SubFPC300","SubFPC302","SubFPC307"
"Inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,2,7,0,10,2,4
"Inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,0,0,0,10
"Inactive",1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,2,9,0,10,2,16
"Inactive",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,1,2
"Inactive",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,6,0,6,0,4,6,8
"Inactive",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,2,6,1,1,1,4
"Inactive",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,5,2,7,0,7,3,6
"Inactive",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,0,4,2,1,3,9
"Inactive",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2,8,1,7,2,6
"Inactive",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,6,2,13,0,10,6,14
"Inactive",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,4,3,3
"Inactive",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,6,0,7,0,5,4,10
"Inactive",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,0,3,0,5,3,8
"Inactive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,4,2,0
"Inactive",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,4,1,2
"Inactive",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,4,2,2
"Inactive",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,6,1,7,0,4,2,7
"Inactive",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,6,2,6,0,2,0,4
"Inactive",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,6,0,6,0,4,6,8
"Inactive",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,4,3,3
"Inactive",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,2,6,1,1,1,4
"Inactive",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,1,2
"Inactive",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,0,4,2,1,3,9
"Inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,0,0,0,10
"Inactive",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,4,2,2
"Inactive",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,2,7,0,10,2,4
"Inactive",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2,8,1,7,2,6
"Inactive",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,6,2,13,0,10,6,14
